"","source","target","weight"
"1",40,36,0.291685367977474
"2",36,40,0.291685367977474
"3",118,116,0.269006286731889
"4",116,118,0.269006286731889
"5",1,0,0.245012540061599
"6",0,1,0.245012540061599
"7",2,0,0.242941431807152
"8",0,2,0.242941431807152
"9",54,40,0.237916661188515
"10",40,54,0.237916661188515
"11",40,45,0.213592307651754
"12",45,40,0.213592307651754
"13",39,38,0.206603169574182
"14",38,39,0.206603169574182
"15",43,36,0.205133612034361
"16",36,43,0.205133612034361
"17",91,88,0.194194754884688
"18",88,91,0.194194754884688
"19",95,88,0.185482291647504
"20",88,95,0.185482291647504
"21",40,39,0.183078775762978
"22",39,40,0.183078775762978
"23",36,2,0.180141380477969
"24",2,36,0.180141380477969
"25",39,36,0.177805496309684
"26",36,39,0.177805496309684
"27",38,89,0.176400841924204
"28",89,38,0.176400841924204
"29",40,43,0.175859257696447
"30",43,40,0.175859257696447
"31",76,59,0.173441744169844
"32",59,76,0.173441744169844
"33",95,91,0.166740182198635
"34",91,95,0.166740182198635
"35",45,36,0.16450151016894
"36",36,45,0.16450151016894
"37",76,74,0.163034799560827
"38",74,76,0.163034799560827
"39",70,58,0.162389724428501
"40",58,70,0.162389724428501
"41",37,2,0.161952902497609
"42",2,37,0.161952902497609
"43",1,2,0.158872753597597
"44",2,1,0.158872753597597
"45",72,76,0.157597121726563
"46",76,72,0.157597121726563
"47",4,1,0.157503726771465
"48",1,4,0.157503726771465
"49",51,39,0.157263034102053
"50",39,51,0.157263034102053
"51",99,89,0.156735073946929
"52",89,99,0.156735073946929
"53",4,0,0.156377383565155
"54",0,4,0.156377383565155
"55",59,58,0.155278198681023
"56",58,59,0.155278198681023
"57",107,111,0.153319088317457
"58",111,107,0.153319088317457
"59",36,0,0.152916792016161
"60",0,36,0.152916792016161
"61",60,71,0.152722085687089
"62",71,60,0.152722085687089
"63",56,53,0.15212744980298
"64",53,56,0.15212744980298
"65",6,1,0.151126655294652
"66",1,6,0.151126655294652
"67",93,94,0.148931314377175
