,city,st,lon,lat,brewery,state
786,Richmond,VA,-77.492834,37.626617,17,Virginia
1051,Leesburg,VA,-77.605404,39.041987,11,Virginia
693,Virginia Beach,VA,-76.12036,36.844004,10,Virginia
886,Fredericksburg,VA,-77.403848,38.313488,9,Virginia
698,Norfolk,VA,-76.208521,36.895911,8,Virginia
858,Charlottesville,VA,-78.556765,38.087663,7,Virginia
973,Manassas,VA,-77.487162,38.744685,6,Virginia
745,Williamsburg,VA,-76.746769,37.310451,5,Virginia
1070,Sterling,VA,-77.645224,39.085309,5,Virginia
1084,Purcellville,VA,-77.734232,39.143614,5,Virginia
901,Harrisonburg,VA,-78.877137,38.422777,5,Virginia
986,Alexandria,VA,-77.04692,38.80484,4,Virginia
944,Woodbridge,VA,-77.271644,38.625541,4,Virginia
743,Arlington,VA,-77.294978,37.283482,4,Virginia
865,Staunton,VA,-79.065116,38.157368,4,Virginia
739,Roanoke,VA,-79.941427,37.27097,4,Virginia
731,Blacksburg,VA,-80.41394,37.22957,4,Virginia
715,Hampton,VA,-76.38992,37.072658,3,Virginia
1009,Chantilly,VA,-77.44566,38.88668,3,Virginia
1071,Ashburn,VA,-77.645224,39.085309,3,Virginia
1094,Winchester,VA,-78.16856,39.169668,3,Virginia
857,Waynesboro,VA,-78.903445,38.065794,3,Virginia
713,Newport News,VA,-76.463471,37.058296,2,Virginia
962,Lorton,VA,-77.204031,38.692865,2,Virginia
733,Petersburg,VA,-77.335396,37.235551,2,Virginia
806,Ashland,VA,-77.480128,37.754912,2,Virginia
989,Gainesville,VA,-77.621613,38.815714,2,Virginia
764,Midlothian,VA,-77.66258,37.454138,2,Virginia
961,Warrenton,VA,-77.836115,38.689832,2,Virginia
917,Culpeper,VA,-77.9928,38.511694,2,Virginia
802,Goochland,VA,-77.995,37.725416,2,Virginia
941,Sperryville,VA,-78.227578,38.612785,2,Virginia
820,Scottsville,VA,-78.529827,37.846277,2,Virginia
863,Crozet,VA,-78.710635,38.129592,2,Virginia
675,Danville,VA,-79.376228,36.603501,2,Virginia
811,Lexington,VA,-79.44282,37.78402,2,Virginia
708,Callaway,VA,-80.056685,37.024849,2,Virginia
744,Salem,VA,-80.067762,37.28814,2,Virginia
676,Bristol,VA,-82.176238,36.613815,2,Virginia
835,Chincoteague,VA,-75.378809,37.933179,1,Virginia
689,Chesapeake,VA,-76.218759,36.749991,1,Virginia
706,Fort Monroe,VA,-76.304391,37.018012,1,Virginia
691,Portsmouth,VA,-76.367715,36.811498,1,Virginia
704,Smithfield,VA,-76.661123,36.990826,1,Virginia
862,Montross,VA,-76.82434,38.111955,1,Virginia
879,Colonial Beach,VA,-76.96358,38.25457,1,Virginia
1007,Falls Church,VA,-77.171752,38.884177,1,Virginia
1026,McLean,VA,-77.18672,38.935202,1,Virginia
1002,Merrifield,VA,-77.234454,38.873861,1,Virginia
1013,Vienna,VA,-77.253749,38.897361,1,Virginia
958,Lake Ridge,VA,-77.297762,38.687894,1,Virginia
1032,Reston,VA,-77.3418,38.96146,1,Virginia
1036,Herndon,VA,-77.367457,38.983887,1,Virginia
773,Glen Allen,VA,-77.416103,37.531296,1,Virginia
903,Stafford,VA,-77.4354,38.438958,1,Virginia
839,Ruther Glen,VA,-77.437767,37.948572,1,Virginia
1041,Dulles,VA,-77.442066,39.002125,1,Virginia
776,Clyde,VA,-77.44675,37.54812,1,Virginia
777,Mauretown,VA,-77.44675,37.54812,1,Virginia
996,Centreville,VA,-77.46701,38.84479,1,Virginia
871,Spotsylvania,VA,-77.58915,38.20096,1,Virginia
1030,Aldie,VA,-77.60375,38.957718,1,Virginia
1107,Lovettsville,VA,-77.659636,39.220432,1,Virginia
803,Rockville,VA,-77.67832,37.72598,1,Virginia
935,Midland,VA,-77.681065,38.602592,1,Virginia
994,Broad Run,VA,-77.71305,38.82373,1,Virginia
1080,Round Hill,VA,-77.780216,39.116425,1,Virginia
1067,Bluemont,VA,-77.846661,39.082266,1,Virginia
916,Brandy Station,VA,-77.901265,38.511323,1,Virginia
774,Powhatan,VA,-77.928759,37.541609,1,Virginia
1016,Delaplane,VA,-77.967401,38.911315,1,Virginia
1054,Middletown,VA,-78.285171,39.048863,1,Virginia
895,Madison,VA,-78.297605,38.369952,1,Virginia
872,Barboursville,VA,-78.309759,38.209534,1,Virginia
742,Farmville,VA,-78.421284,37.280694,1,Virginia
951,Luray,VA,-78.481288,38.645981,1,Virginia
