"","name","grp","btns","wdeg","n","fgrp"
"1","IPA - American",3,1334,7.71849670933885,16185,"Core Beers"
"2","Pale Ale - American",3,768,5.44305555711108,7647,"Core Beers"
"3","IPA - Imperial / Double",3,1664,5.54854084476636,7104,"Core Beers"
"4","Blonde Ale",3,674,2.99188763340619,3591,"Core Beers"
"5","Red Ale - American Amber / Red",3,642,5.47532895498199,3081,"Core Beers"
"6","Porter - American",3,154,2.44789183064828,2575,"Core Beers"
"7","Brown Ale - American",3,208,4.05049712603805,2511,"Core Beers"
"8","Stout - American",3,12,1.45361280957467,2252,"Core Beers"
"9","Stout - Milk / Sweet",3,540,2.06717483433662,2099,"Core Beers"
"10","Porter - Other",3,914,3.43381115406706,2059,"Core Beers"
"11","IPA - Session / India Session Ale",3,46,1.18580038817679,2026,"Core Beers"
"12","Fruit Beer",3,68,1.88408984089126,1972,"Core Beers"
"13","Cream Ale",3,318,3.37856754143442,1965,"Core Beers"
"14","Wheat Beer - American Pale Wheat",3,100,3.11937553785339,1943,"Core Beers"
"15","Stout - Other",3,448,1.85199132132362,1770,"Core Beers"
"16","Stout - Oatmeal",3,88,2.7158124503664,1613,"Core Beers"
"17","IPA - Black / Cascadian Dark Ale",3,398,3.67518311826381,1457,"Core Beers"
"18","Red Ale - Irish",3,378,4.5849841339821,1377,"Core Beers"
"19","Pumpkin / Yam Beer",3,242,3.69690262372752,1373,"Core Beers"
"20","Stout - Russian Imperial",3,156,1.41345409867394,1127,"Core Beers"
"21","Wheat Beer - Other",3,134,0.855286185012292,938,"Core Beers"
"22","Scotch Ale / Wee Heavy",3,300,2.07715260676215,883,"Core Beers"
"23","Rye Beer",3,42,1.3217808932118,703,"Core Beers"
"24","Spiced / Herbed Beer",3,532,1.18416607664863,693,"Core Beers"
"25","Scottish Ale",3,302,2.10831690645615,615,"Core Beers"
"26","IPA - Red",3,36,0.372506829397613,515,"Core Beers"
"27","IPA - Rye",3,72,0.476493453502516,482,"Core Beers"
"28","Winter Ale",3,2,0.644247615690605,479,"Core Beers"
"29","Barleywine - American",3,504,1.1993734987459,469,"Core Beers"
"30","Red Ale - Imperial / Double",3,124,1.12014367555757,458,"Core Beers"
"31","Porter - Imperial / Double",3,0,0.308577950212145,433,"Core Beers"
"32","Winter Warmer",3,22,0.59647159942468,386,"Core Beers"
"33","Strong Ale - American",3,40,0.454624091025284,362,"Core Beers"
"34","IPA - White",3,16,0.503950514225016,329,"Core Beers"
"35","Brown Ale - Imperial / Double",3,0,0.11066228142803,265,"Core Beers"
"36","Stout - Foreign / Export",3,0,0.105896795376798,210,"Core Beers"
"37","IPA - New England",7,1406,5.48571562069726,8239,"NEIPAs & Sours"
"38","Stout - Imperial / Double",7,216,2.35358851394979,2813,"NEIPAs & Sours"
"39","Sour - Other",7,250,2.07080693051946,2676,"NEIPAs & Sours"
"40","Sour - Fruited",7,110,3.48763004009371,2145,"NEIPAs & Sours"
"41","IPA - Imperial / Double New England",7,122,4.9313356192372,1972,"NEIPAs & Sours"
"42","Sour - Berliner Weisse",7,704,1.90932789313822,1431,"NEIPAs & Sours"
"43","Sour - Gose",7,348,2.16534616350369,1263,"NEIPAs & Sours"
"44","IPA - Milkshake",7,86,3.3057299860619,1095,"NEIPAs & Sours"
"45","Stout - Coffee",7,258,0.618856114951911,799,"NEIPAs & Sours"
"46","Pale Ale - New England",7,288,1.85454229019815,550,"NEIPAs & Sours"
"47","IPA - Triple",7,396,1.46681251178351,544,"NEIPAs & Sours"
"48","Sour - Fruited Gose",7,76,1.85352592449826,535,"NEIPAs & Sours"
"49","Sour - Fruited Berliner Weisse",7,12,2.01784867792624,507,"NEIPAs & Sours"
"50","Stout - Imperial / Double Milk",7,96,2.10849481108888,466,"NEIPAs & Sours"
"51","IPA - Brut",7,0,0.311323503937216,398,"NEIPAs & Sours"
"52","IPA - Sour",7,192,2.33429290853609,312,"NEIPAs & Sours"
"53","Stout - White",7,0,0.124432143062318,166,"NEIPAs & Sours"
"54","Stout - Pastry",7,30,1.98479193552694,161,"NEIPAs & Sours"
"55","IPA - Triple New England",7,4,2.54849734481592,157,"NEIPAs & Sours"
"56","IPA - Imperial / Double Black",7,0,0.132069672173087,141,"NEIPAs & Sours"
"57","Stout - Imperial / Double Pastry",7,16,2.18327465354088,130,"NEIPAs & Sours"
"58","IPA - Imperial / Double Milkshake",7,18,1.43973700012697,122,"NEIPAs & Sours"
"59","Hefeweizen",8,832,4.88539364268237,2572,"Lagers & German"
"60","Märzen",8,1578,7.37242169431958,2164,"Lagers & German"
"61","Kölsch",8,368,2.3273418242341,1968,"Lagers & German"
"62","Pilsner - Other",8,108,1.20606813997899,1254,"Lagers & German"
"63","Pilsner - German",8,594,2.21283556691314,930,"Lagers & German"
"64","Lager - American Light",8,250,1.09343168876721,874,"Lagers & German"
"65","Lager - American",8,506,0.538701149613309,700,"Lagers & German"
"66","Lager - Pale",8,10,0.647972457405231,697,"Lagers & German"
"67","Lager - Helles",8,18,3.26366187177339,688,"Lagers & German"
"68","Lager - Amber",8,390,0.860183981107501,647,"Lagers & German"
"69","Lager - Vienna",8,144,2.70197246280709,646,"Lagers & German"
"70","Pilsner - Czech",8,48,1.67203447239604,643,"Lagers & German"
"71","Dunkelweizen",8,538,2.61570309677149,549,"Lagers & German"
"72","Altbier",8,192,2.24748099694648,466,"Lagers & German"
"73","Schwarzbier",8,368,3.44964331681399,441,"Lagers & German"
"74","Shandy / Radler",8,132,0.827229181542738,440,"Lagers & German"
"75","Bock - Doppelbock",8,550,3.43213705932055,436,"Lagers & German"
"76","Festbier",8,198,1.36147546406312,399,"Lagers & German"
"77","Bock - Hell / Maibock / Lentebock",8,6,3.96919021785983,398,"Lagers & German"
"78","Bock - Single / Traditional",8,146,2.43459503208204,382,"Lagers & German"
"79","Lager - IPL (India Pale Lager)",8,54,2.29209697511622,375,"Lagers & German"
"80","Lager - Dark",8,366,2.15546774153353,374,"Lagers & German"
"81","Porter - Baltic",8,8,1.27463762893062,371,"Lagers & German"
"82","Lager - Munich Dunkel",8,4,2.89587406681885,321,"Lagers & German"
"83","Lager - American Amber / Red",8,8,0.606316990579063,276,"Lagers & German"
"84","Bock - Weizenbock",8,102,1.46284018596457,166,"Lagers & German"
"85","Kellerbier / Zwickelbier",8,534,2.28058551628128,161,"Lagers & German"
"86","Rauchbier",8,102,2.07477311208387,141,"Lagers & German"
"87","Farmhouse Ale - Saison",5,1074,4.255156450013,4624,"Belgian Ales"
"88","Wheat Beer - Witbier",5,540,2.66133363225553,1968,"Belgian Ales"
"89","Belgian Tripel",5,290,3.06531690446891,1144,"Belgian Ales"
"90","American Wild Ale",5,156,1.82314846627666,818,"Belgian Ales"
"91","Belgian Blonde",5,2,1.81492054479709,719,"Belgian Ales"
"92","Belgian Dubbel",5,114,2.70596687459979,672,"Belgian Ales"
"93","Belgian Strong Golden Ale",5,2,1.47309219136036,569,"Belgian Ales"
"94","Belgian Strong Dark Ale",5,278,2.48870605644396,480,"Belgian Ales"
"95","Pale Ale - Belgian",5,48,1.98465721007862,441,"Belgian Ales"
"96","Belgian Quadrupel",5,22,2.19881014906053,431,"Belgian Ales"
"97","IPA - Belgian",5,2,2.08064829327151,375,"Belgian Ales"
"98","Farmhouse Ale - Bière de Garde",5,182,1.11978839907351,220,"Belgian Ales"
"99","Farmhouse Ale - Other",5,16,0.937395013498487,182,"Belgian Ales"
"100","Sour - Flanders Red Ale",5,144,1.07854766124511,154,"Belgian Ales"
"101","Grisette",5,0,0.868718480022519,152,"Belgian Ales"
"102","Table Beer",5,26,0.735514451624766,109,"Belgian Ales"
"103","Brown Ale - Belgian",5,10,0.723460120987923,100,"Belgian Ales"
"104","Golden Ale",10,148,0.69550247631158,1040,"English Ales"
"105","Stout - Irish Dry",10,50,1.15882791777553,861,"English Ales"
"106","Extra Special / Strong Bitter",10,390,3.23423740458769,843,"English Ales"
"107","Brown Ale - English",10,500,2.4518710776139,821,"English Ales"
"108","English Bitter",10,288,1.80336544209139,509,"English Ales"
"109","Porter - English",10,26,1.11264839356058,499,"English Ales"
"110","English Mild Ale",10,198,1.35074623273214,467,"English Ales"
"111","Pale Ale - English",10,228,1.56978019169442,441,"English Ales"
"112","IPA - English",10,46,2.07323661283489,408,"English Ales"
"113","Dark Ale",10,0,0.101525914151059,285,"English Ales"
"114","Barleywine - English",10,74,0.739416428523648,191,"English Ales"
"115","Old Ale",10,14,0.242605435087918,180,"English Ales"
"116","Strong Ale - English",10,88,0.812222314260531,115,"English Ales"
"117","Cider - Traditional",1,240,0.967930397351549,378,"Cider, Mead, Herb"
"118","Hard Seltzer",1,262,0.214157910669549,303,"Cider, Mead, Herb"
"119","Cider - Other Fruit",1,32,0.817082627935655,142,"Cider, Mead, Herb"
"120","Ginger Beer",1,64,0.321370830659425,127,"Cider, Mead, Herb"
"121","Gruit / Ancient Herbed Ale",1,276,0.424615469437747,115,"Cider, Mead, Herb"
"122","Mead - Other",1,20,0.377650442404343,108,"Cider, Mead, Herb"
"123","Brown Ale - Other",9,0,0.10208463137687,504,"Misc"
"124","Smoked Beer",2,0,0.233702899997893,352,"Misc"
"125","Red Ale - Other",4,254,0.2125570861766,302,"Misc"
"126","Stout - Imperial / Double Oatmeal",6,30,0.233617676993989,250,"Misc"
"127","IPA - International",11,0,0.205324204014492,142,"Misc"
"128","Traditional Ale",4,0,0.108575712400496,131,"Misc"
"129","Pale Ale - International",11,254,0.306665416136846,105,"Misc"
